project_name,stars_passed,stars,forks,contributors,commits,commiters
goehlemichael/terraform-podcast,0.42424242424242425,5,1,2,165,4
seigot/tetris_score_server,0.8225806451612904,2,1,2,624,2
OctopusDeploy/Sashimi.Terraform,0.45454545454545453,2,4,22,122,24
SamirTalwar/monospacedmonologues.com,0.26666666666666666,2,0,1,336,1
cloud-security-musings/terrascan-example,0.8,2,1,1,2,1
hashicorp/learn-terraform-module-object-attributes,0.3333333333333333,2,0,1,10,2
lacework/terraform-aws-eks-audit-log,0.9538461538461539,2,3,6,40,8
cabinetoffice/gender-pay-gap,0.7368421052631579,2,2,10,1861,18
ameerulislam/terraform,0.5833333333333334,2,0,1,75,3
wolffberg/scaffolding-terragrunt,0.8333333333333334,2,0,1,8,1
Olgoetz/terraform-aws-tfc-state-backup,0.875,2,0,1,43,2
bcgov/myhealthBC-symptom-checker,0.7647058823529411,2,0,8,119,8
nagelflorian/terraform-aws-s3-review-apps,0.7142857142857143,2,1,3,47,3
alexraskin/lhbot,0.6176470588235294,2,1,2,411,5
azavea/iow-boundary-tool,0.8305084745762712,2,3,6,266,7
web-mev/mev-backend,0.7294117647058823,2,2,3,835,6
JesusFilm/core,0.7659574468085106,2,3,12,692,12
gitpod-io/gitpod,0.7083333333333334,9330,918,30,7276,130
determined-ai/determined,0.375,1872,259,30,4396,93
jetstack/tarmak,0.8632478632478633,267,48,19,3352,24
HXSecurity/TerraformGoat,0.6,253,49,6,217,9
awslabs/kubeflow-manifests,0.76,75,49,19,222,20
wwce/terraform,0.5738575982996812,45,79,11,75,3
wellcomecollection/wellcomecollection.org,0.7590361445783133,34,6,30,24810,43
bcgov/mds,0.55,23,40,30,3195,47
hotosm/underpass,0.7874015748031497,18,4,8,1644,11
heldersepu/hs-scripts,0.5647058823529412,14,14,1,1232,3
svthalia/concrexit,0.5454545454545454,13,11,30,4665,69
nulib/meadow,0.6935483870967742,9,4,11,2764,19
CMSgov/cms-carts-seds,0.8888888888888888,5,4,30,3389,55
JamesMillerBlog/wrapper.js,0.47619047619047616,6,1,1,148,2
0mk1/terraform-workshops,0.6666666666666666,4,2,1,12,2
ethanfann/avarts,0.21739130434782608,3,0,5,291,6
0mk1/gifz-api,0.717391304347826,2,2,0,7,1
signal-ai/terraform-aws-cloudwatch-prometheus,0.7916666666666666,2,0,3,46,3
bcgov/workbc-main,0.7945205479452054,2,2,10,474,14
refinery-platform/refinery-platform,0.5777777777777777,99,22,15,10022,27
CMSgov/beneficiary-fhir-data,0.9265536723163842,30,23,30,4239,79
ministryofjustice/opg-digideps,0.9474671669793621,9,2,30,15172,65
ministryofjustice/opg-lpa,0.9322033898305084,6,6,30,10067,52
entechlog/kafka-examples,0.7727272727272727,6,7,1,11,2
leopardslab/kubebot,0.5444444444444444,3,3,2,62,5
lynnlangit/aws-for-bioinformatics,0.5,4,0,3,368,3
49thSecurityDivision/Presentations,0.65,2,4,6,121,13
