Project Name,Policy ID,Evaluation
afloesch/learning-terraform,POL98,NONE
afloesch/learning-terraform,POL99,NONE
alexisCata/terraform_ansible_deploy,POL34,NONE
alexisCata/terraform_ansible_deploy,POL98,NONE
alexisCata/terraform_ansible_deploy,POL99,NONE
Worklytics/psoxy,POL91,BOTH
Worklytics/psoxy,POL92,BOTH
Worklytics/psoxy,POL96,BOTH
Worklytics/psoxy,POL98,BOTH
Worklytics/psoxy,POL99,BOTH
88lexd/lexd-solutions,POL91,CHECKOV
88lexd/lexd-solutions,POL92,CHECKOV
88lexd/lexd-solutions,POL96,CHECKOV
88lexd/lexd-solutions,POL98,NONE
88lexd/lexd-solutions,POL99,NONE
sashee/cloudfront-multiple-origins,POL98,NONE
sashee/cloudfront-multiple-origins,POL99,NONE
dwp/dataworks-metrics-infrastructure,POL91,BOTH
dwp/dataworks-metrics-infrastructure,POL92,BOTH
dwp/dataworks-metrics-infrastructure,POL96,BOTH
dwp/dataworks-metrics-infrastructure,POL98,BOTH
dwp/dataworks-metrics-infrastructure,POL99,BOTH
felix-lessoer/elastic-terraform-examples,POL98,NONE
felix-lessoer/elastic-terraform-examples,POL99,NONE
splunk/splunkconf-backup,POL91,BOTH
splunk/splunkconf-backup,POL92,BOTH
splunk/splunkconf-backup,POL96,BOTH
splunk/splunkconf-backup,POL98,CHECKOV
splunk/splunkconf-backup,POL99,BOTH
Terraform-GUI/terraform-gui,POL34,BOTH
Terraform-GUI/terraform-gui,POL98,NONE
Terraform-GUI/terraform-gui,POL99,NONE
byu-oit/hw-fargate-api,POL91,BOTH
byu-oit/hw-fargate-api,POL92,BOTH
byu-oit/hw-fargate-api,POL96,BOTH
byu-oit/hw-fargate-api,POL98,BOTH
byu-oit/hw-fargate-api,POL99,BOTH
mitre/demo-aws-hardening,POL98,NONE
mitre/demo-aws-hardening,POL99,NONE
nhsconnect/prm-deductions-ehr-repository,POL34,BOTH
nhsconnect/prm-deductions-ehr-repository,POL98,NONE
nhsconnect/prm-deductions-ehr-repository,POL99,NONE
StratusGrid/terraform-aws-terraform-state-s3-bucket-centralized-with-roles,POL91,BOTH
StratusGrid/terraform-aws-terraform-state-s3-bucket-centralized-with-roles,POL92,BOTH
StratusGrid/terraform-aws-terraform-state-s3-bucket-centralized-with-roles,POL96,BOTH
StratusGrid/terraform-aws-terraform-state-s3-bucket-centralized-with-roles,POL98,BOTH
StratusGrid/terraform-aws-terraform-state-s3-bucket-centralized-with-roles,POL99,BOTH
e-valente/cloudgoat-with-steroids,POL34,BOTH
e-valente/cloudgoat-with-steroids,POL91,NONE
e-valente/cloudgoat-with-steroids,POL92,NONE
e-valente/cloudgoat-with-steroids,POL96,NONE
e-valente/cloudgoat-with-steroids,POL98,NONE
jellis18/e-commerce-saas,POL98,NONE
jellis18/e-commerce-saas,POL99,NONE
akerl/aws-account,POL98,NONE
