Repository Full Name,Repository Description,Star Count,Fork Count,Repository Licence,Main Language,Language Repartition
AndriiKotselovskyi/m06_sparkbasics_python_azure-master,,0,0,NO LICENSE,Python,"{'Python': 99.78, 'Shell': 0.08, 'Dockerfile': 0.05, 'HCL': 0.04, 'PowerShell': 0.02, 'Nu': 0.02, 'Batchfile': 0.02}"
chris99plus/cad-budget-tracker,Project for the Cloud Application Development course,0,0,NO LICENSE,JavaScript,"{'JavaScript': 72.83, 'TypeScript': 14.68, 'Smarty': 5.04, 'CSS': 1.96, 'SCSS': 1.81, 'HCL': 1.62, 'Dockerfile': 1.34, 'HTML': 0.73}"
alykes/jf-terraform,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
Ravi01459/Repo3,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
yunikon-nl/terraform-azurerm-aks,Terraform module.,0,0,MIT License,HCL,"{'HCL': 96.34, 'Go': 3.66}"
baserrato/k8s-thehardway,Liatrio Bootcamp Kubernetes the Hardway,0,0,NO LICENSE,HCL,"{'HCL': 94.17, 'Makefile': 5.83}"
implodingduck/terraform-samples,,0,0,MIT License,HCL,"{'HCL': 96.37, 'Python': 3.63}"
wenzel-felix/terraform-azurerm-file-based-role-assignments,This terraform module allows the user to create Azure role assignments based on json files. By providing this setup the terraform code itself is highly minimized while also allowing better overview through a fully customizable file structure.,0,0,MIT License,HCL,{'HCL': 100.0}
emmelop/terraform101,,0,0,NO LICENSE,HCL,"{'HCL': 96.36, 'Shell': 3.64}"
Chris-Harvey0/CSC8110-Cloud-Computing,,0,0,NO LICENSE,Java,"{'Java': 91.32, 'HCL': 4.19, 'Shell': 2.64, 'Dockerfile': 1.22, 'Python': 0.62}"
magrathj/Synapse-Warehouse,Example of Synapse data warehouse which pulls data from Azure SQL DB,0,0,NO LICENSE,HCL,"{'HCL': 64.92, 'Python': 35.08}"
hyunsukgo/terraform-az,Azure Cloud 배포 초기 설정,0,0,NO LICENSE,HCL,{'HCL': 100.0}
prash280887/TerraformDeployDemo,,0,0,MIT License,HCL,"{'HCL': 63.99, 'Python': 32.08, 'Shell': 3.92}"
nurguloz/terraformprojectjan30,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
HadeyAhsan/Azure-Terraform-VM,,0,0,NO LICENSE,HCL,"{'HCL': 86.8, 'Shell': 10.46, 'Smarty': 2.74}"
chaitanya2616/https-github.com-devops-master-class,,0,0,NO LICENSE,Java,"{'Java': 61.67, 'HCL': 32.77, 'Dockerfile': 3.15, 'Gherkin': 1.27, 'JavaScript': 0.7, 'Python': 0.45}"
massdriver-cloud/application-templates,Example application bundles to run on Massdriver,0,0,MIT License,HCL,"{'HCL': 87.34, 'Smarty': 12.66}"
rs-pk/ansiblesonar,,0,0,NO LICENSE,Jinja,"{'Jinja': 42.49, 'Python': 30.18, 'HCL': 24.03, 'Shell': 3.29}"
rajan-bhaniwal/rajan.bhaniwal,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
T-Runner/T-Runner,,0,0,NO LICENSE,JavaScript,"{'JavaScript': 57.03, 'C#': 39.02, 'CSS': 1.45, 'HCL': 0.99, 'HTML': 0.82, 'Dockerfile': 0.66, 'TSQL': 0.02, 'Shell': 0.02}"
BabalolaBrainiac/Deployment-Docker-Kubernetes,,0,0,NO LICENSE,Java,"{'Java': 68.4, 'HCL': 25.21, 'Dockerfile': 5.21, 'JavaScript': 0.72, 'Python': 0.46}"
Menaga12/TF,,0,0,MIT License,HCL,"{'HCL': 85.67, 'JavaScript': 10.38, 'Shell': 2.96, 'Lua': 0.8, 'TypeScript': 0.13, 'Dockerfile': 0.07}"
nataliaduraess/Terraform,,1,0,NO LICENSE,HCL,"{'HCL': 85.03, 'Python': 14.97}"
QA-Git-acc-01/TF-Repo,,0,0,MIT License,HCL,"{'HCL': 85.67, 'JavaScript': 10.38, 'Shell': 2.96, 'Lua': 0.8, 'TypeScript': 0.13, 'Dockerfile': 0.07}"
rakesh-vishwabrahmana/Test,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
Azferry/azure-terraform,Getting started using Terraform in Azure with example templates,1,0,MIT License,HCL,{'HCL': 100.0}
sisada123/myproject,,0,0,MIT License,Python,"{'Python': 71.43, 'Jupyter Notebook': 20.96, 'HCL': 5.35, 'Bicep': 1.39, 'Dockerfile': 0.87}"
VijayJaligama/MyWebApp,,0,0,NO LICENSE,HTML,"{'HTML': 88.47, 'HCL': 6.74, 'C#': 2.73, 'CSS': 1.54, 'Dockerfile': 0.32, 'Shell': 0.11, 'JavaScript': 0.08}"
hari11uj1/terraform_snowflake_int,terraform snow flake integration,0,0,NO LICENSE,HCL,{'HCL': 100.0}
biskilled/terraform_azure,,0,0,NO LICENSE,Python,"{'Python': 69.23, 'HCL': 30.77}"
ranjanm1/teraform-aks-k8s,,1,0,NO LICENSE,HCL,{'HCL': 100.0}
arjunachari12/azure-tf,,0,1,NO LICENSE,HCL,{'HCL': 100.0}
DFE-Digital/apply-for-teacher-training,A service for applying to teacher training courses,28,6,MIT License,Ruby,"{'Ruby': 86.17, 'HTML': 11.35, 'JavaScript': 0.84, 'HCL': 0.67, 'SCSS': 0.61, 'Makefile': 0.23, 'Dockerfile': 0.06, 'Shell': 0.06, 'Procfile': 0.0}"
JahvoTrust/MLOpsPython,,0,0,MIT License,Python,"{'Python': 70.48, 'Jupyter Notebook': 22.92, 'Shell': 3.73, 'HCL': 1.89, 'R': 0.51, 'Dockerfile': 0.47}"
FlyingDutchmannn/CICDprojektTerraform,projekt für Techstarter Terraform ,0,0,NO LICENSE,HCL,{'HCL': 100.0}
erikadealmeidaramos/terraform-azure-vm,,1,0,NO LICENSE,HCL,{'HCL': 100.0}
akmara1/my-repo,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
nkilli2022/assig,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
Contrast-Security-OSS/demo-webgoat.net,,2,5,NO LICENSE,C#,"{'C#': 56.04, 'ASP.NET': 25.72, 'CSS': 10.6, 'JavaScript': 5.32, 'TypeScript': 1.29, 'HCL': 0.99, 'Python': 0.02, 'Shell': 0.01}"
atingupta2005/Bosch-Azure-Devops-Feb-23,,0,0,NO LICENSE,HCL,"{'HCL': 63.37, 'Shell': 28.18, 'Jinja': 4.65, 'HTML': 1.42, 'Dockerfile': 1.34, 'Batchfile': 1.04}"
douglas-arc/sandbox-terraform,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
visma-raet/terraform-azurerm-kubernetes,Terraform Module for deploying a Azure Kubernetes (AKS) cluster,0,0,MIT License,HCL,"{'HCL': 81.8, 'Shell': 14.43, 'Python': 3.77}"
froggogood/Terrafrom-basic_IaC,A basic Terraform provisioning script for me to learn.,0,0,NO LICENSE,HCL,{'HCL': 100.0}
briandenicola/codespaces-developer-demo,A demonstration on how to use GitHub CodeSpaces customized with DevContainers for modern application development. ,2,0,MIT License,HCL,"{'HCL': 69.56, 'Shell': 16.15, 'Go': 8.76, 'TypeScript': 4.2, 'Dockerfile': 1.32}"
pagopa/pagopa-azure-devops,,3,0,NO LICENSE,HCL,"{'HCL': 99.54, 'Shell': 0.46}"
